,0.5,1,3,6,24
SYMBOL:ABL1,14.435,14.231,14.767999999999999,14.279000000000002,11.084000000000001
SYMBOL:GABRB1,10.033999999999999,12.797,10.385,9.731,10.074
SYMBOL:ERBB2,9.847000000000001,10.043,10.109,9.87,12.533
SYMBOL:PTK2B,11.710999999999999,13.321,13.738,11.414000000000001,12.995
SYMBOL:CALM1,12.265,10.08,11.46,11.378,10.095
SYMBOL:BLNK,12.61,12.137,12.49,11.449000000000002,10.31
SYMBOL:HSP90AB1,10.061,12.343,10.401,10.296,10.386
SYMBOL:BRCA1,12.145999999999999,10.005,11.582,11.065999999999999,10.16
SYMBOL:PAK2,9.802,12.100999999999999,10.455,10.107999999999999,10.252
SYMBOL:NFKB2,11.547,12.175999999999998,11.83,10.283,10.25
SYMBOL:RB1,10.039,12.228,10.615,10.158,10.495
SYMBOL:RPS6KA5,11.015999999999998,10.724,9.738,11.953,10.134
SYMBOL:TP53,12.41,13.362,11.882,13.764000000000001,13.772
SYMBOL:RPS6KB2,10.259,10.334000000000001,10.290999999999999,10.632,12.218
SYMBOL:RPS6KA1,12.008,12.228,13.145,10.948,12.58
SYMBOL:RPS6KB1,10.136000000000001,10.474,11.837,9.962,9.941
SYMBOL:CHEK1,11.834000000000001,9.956,10.495,10.404000000000002,9.857000000000001
SYMBOL:ABL1,10.380999999999998,10.460999999999999,10.985999999999999,10.776,12.319
SYMBOL:JAK1,10.314,10.41,10.6,12.12,10.254000000000001
SYMBOL:CHUK,13.064,12.509,12.392000000000001,12.321,14.154000000000002
SYMBOL:MAP2K1,11.673,10.32,11.231,11.770999999999999,10.16
SYMBOL:EIF4EBP1,10.682,10.975999999999999,10.705,10.738,12.422
SYMBOL:CREB1,11.522,9.977,10.045,9.804,9.83
SYMBOL:TP53,9.976,11.867,10.685,10.287,10.469000000000001
SYMBOL:ABL1,10.184,11.75,10.312999999999999,10.011000000000001,10.177
SYMBOL:MAP2K2,10.121,10.35,10.061,11.748,10.217
SYMBOL:RPS6KA1,11.172,11.661,11.657,10.315,10.21
SYMBOL:AR,9.951,11.350999999999999,9.847999999999999,9.642000000000001,9.888
SYMBOL:STMN1,9.854,9.935,10.084,9.852,11.434000000000001
SYMBOL:EIF4EBP1,12.719000000000001,12.572000000000001,12.628,12.294,11.089
SYMBOL:CASP9,10.597999999999999,11.662,11.511,10.196,10.395
SYMBOL:JUN,10.671,10.955,10.706,10.662,12.2
SYMBOL:PTK2B,12.255,10.999,10.940999999999999,11.909,10.821
SYMBOL:LYN,14.198,13.085999999999999,13.312999999999999,14.198,12.795
SYMBOL:BCR,11.565999999999999,10.054,10.386,10.039,10.241
SYMBOL:RPS6KB1,10.533,12.015,10.699000000000002,10.561,10.705
SYMBOL:IL7R,11.629000000000001,11.052999999999999,10.437999999999999,10.434000000000001,11.72
SYMBOL:CDC25C,10.299000000000001,11.703,10.434000000000001,10.35,10.263
SYMBOL:YWHAZ,11.993,12.907,11.613,11.489,11.42
SYMBOL:AKT1,10.445,10.377,10.765,10.857999999999999,11.892000000000001
SYMBOL:WAS,11.63,10.106,10.345999999999998,10.459000000000001,10.324000000000002
SYMBOL:MET,13.349,13.169,12.265,12.03,12.24
SYMBOL:CDH5,13.645999999999999,12.73,12.124,13.352,12.675999999999998
SYMBOL:BMX,9.913,11.48,10.501,10.263,10.276
SYMBOL:BRAF,10.604000000000001,11.894,10.698,10.537,10.482000000000001
SYMBOL:CCND1,10.794,10.790999999999999,10.725999999999999,10.824000000000002,12.095999999999998
SYMBOL:PDPK1,10.001,10.088,10.966,11.151,9.918
SYMBOL:HCK,11.642999999999999,11.501,10.17,11.012,10.91
SYMBOL:IGF2R,10.455,10.402999999999999,10.854000000000001,11.793,10.744000000000002
SYMBOL:CAMK2A,11.634,11.363,10.501,10.355,10.752
SYMBOL:ZAP70,11.455,10.241,10.146,10.282,10.222999999999999
SYMBOL:SRF,10.497,10.649000000000001,10.902000000000001,10.765999999999998,11.888
SYMBOL:SNCA,11.934000000000001,10.684000000000001,10.76,10.870999999999999,10.593
SYMBOL:NF2,12.386,13.159,12.943,13.815,12.640999999999998
SYMBOL:CCNC,11.627,10.236,10.542,10.395,10.763
SYMBOL:EGFR,10.168,9.826,10.17,11.232999999999999,10.119
SYMBOL:ACACA,12.06,10.763,11.350999999999999,10.907,10.857000000000001
SYMBOL:RPS6KB1,10.101,10.283,11.392999999999999,10.329,10.151
SYMBOL:LCK,10.442,10.437000000000001,11.612,10.431,10.395999999999999
SYMBOL:PIK3R1,10.338,10.201,11.498,10.300999999999998,10.585
SYMBOL:JUN,9.48,9.466000000000001,10.739,9.818999999999999,9.706
SYMBOL:LCK,11.767000000000001,10.95,11.181,10.477,10.56
SYMBOL:RELA,11.412,11.569,10.424000000000001,11.609000000000002,10.859000000000002
SYMBOL:SYK,13.866,13.382,12.444,13.159,13.152999999999999
SYMBOL:EEF2K,11.898,10.648,10.914000000000001,10.669,10.959000000000001
SYMBOL:LIMK1,12.333,12.686,12.879000000000001,11.790999999999999,11.75
SYMBOL:MEF2D,10.167,10.141,10.392000000000001,11.39,10.460999999999999
SYMBOL:GSK3B,9.519,9.381,9.693,10.619000000000002,9.443
SYMBOL:CTTN,9.662,9.616,9.782,10.853,9.931000000000001
SYMBOL:VAV1,10.495,11.046,11.386,10.527999999999999,10.096
SYMBOL:NTRK1,9.962,11.102,10.249,9.941,9.902000000000001
SYMBOL:BRCA1,11.589,10.401,10.472000000000001,10.397,10.715
SYMBOL:CBL,10.774000000000001,9.978,10.314,9.902999999999999,11.050999999999998
SYMBOL:CD4,12.341,11.399000000000001,11.610999999999999,11.335999999999999,11.004000000000001
SYMBOL:MAPK8,10.414000000000001,10.535,11.679,10.89,10.833
SYMBOL:RAF1,10.136000000000001,10.191,10.288,11.288,10.193
SYMBOL:TYK2,10.065,10.144,10.314,11.200999999999999,10.042
SYMBOL:PPP2CA,12.298,11.645,11.91,11.027000000000001,11.392000000000001
SYMBOL:SRC,9.913,9.587,8.706,9.146,9.714
SYMBOL:FOXO3,10.527000000000001,10.297,10.612,11.543,10.530999999999999
SYMBOL:NFKB2,10.742,10.931,10.41,9.922,9.855
SYMBOL:JUN,10.517999999999999,10.372,10.495999999999999,10.475,11.529000000000002
SYMBOL:BRAF,10.546,10.49,11.317,11.046,11.575
SYMBOL:PLD1,12.052999999999999,11.004000000000001,11.075999999999999,10.985,10.934000000000001
SYMBOL:FGFR1,10.798,10.757,10.01,9.751,10.066
SYMBOL:KDR,13.364,12.755999999999998,12.122,12.595,13.05
SYMBOL:GSK3B,11.159,10.26,10.470999999999998,10.519,9.87
SYMBOL:TOP2A,11.216,12.300999999999998,11.627,11.589,11.125
SYMBOL:CAT,12.354000000000001,11.408,11.804,11.161,11.625
SYMBOL:FER,12.493,12.707,12.31,12.458,11.537
SYMBOL:EIF4G1,12.122,11.305,11.109000000000002,11.165,11.035
SYMBOL:TP53,10.311,10.639000000000001,10.792,11.442,10.429
SYMBOL:IGF2R,10.575999999999999,10.942,11.557,11.573,11.423
SYMBOL:TP53,10.151,10.372,9.908999999999999,11.052999999999999,10.578
SYMBOL:KRT8,11.645999999999999,10.937999999999999,11.828,11.422,10.856
SYMBOL:EGFR,11.525,11.265,11.83,10.710999999999999,11.595
SYMBOL:HDAC5,10.204,10.440999999999999,11.168,11.09,10.484000000000002
SYMBOL:CCNB1,10.187999999999999,10.547,10.550999999999998,11.088,9.97
SYMBOL:GRIA1,14.512,14.681,13.728,14.305,14.802
